22:16:07.667 | INFO  |                      DBConnectionManager: Close database connection
22:16:07.675 | INFO  |                           JockeyEndpoint: POST /api/v1/jockeys, Jockey: HorseDto{id=null, name='Jockey1', skill=-2000.0, created=null, updated=null}
22:16:07.675 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:07.675 | INFO  |                            JockeyService: Insert jockey with following data: Name: Jockey1, Skill: -2000.0
22:16:07.675 | INFO  |                                JockeyDao: Insert Jockey
22:16:07.675 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.675 | INFO  |                      DBConnectionManager: Establish database connection
22:16:07.682 | INFO  |                      DBConnectionManager: Close database connection
22:16:07.696 | INFO  |                           JockeyEndpoint: POST /api/v1/jockeys, Jockey: HorseDto{id=null, name='Jockey1', skill=-2000.0, created=null, updated=null}
22:16:07.696 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:07.696 | INFO  |                            JockeyService: Insert jockey with following data: Name: Jockey1, Skill: -2000.0
22:16:07.696 | INFO  |                                JockeyDao: Insert Jockey
22:16:07.696 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.696 | INFO  |                      DBConnectionManager: Establish database connection
22:16:07.706 | INFO  |                           JockeyEndpoint: POST /api/v1/jockeys, Jockey: HorseDto{id=null, name='Jockey2', skill=33.33, created=null, updated=null}
22:16:07.706 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:07.706 | INFO  |                            JockeyService: Insert jockey with following data: Name: Jockey2, Skill: 33.33
22:16:07.706 | INFO  |                                JockeyDao: Insert Jockey
22:16:07.706 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.711 | INFO  |                           JockeyEndpoint: DELETE /api/v1/jockeys/1
22:16:07.711 | INFO  |                            JockeyService: Delete jockey with id 1
22:16:07.711 | INFO  |                                JockeyDao: Delete jockey with id 1
22:16:07.712 | INFO  |                                JockeyDao: Get jockey with id 1
22:16:07.712 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.712 | INFO  |                                JockeyDao: Check if jockey with id 1 exists: insert into jockeyhistory if no, else do nothing
22:16:07.712 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.712 | INFO  |                                JockeyDao: Insert into jockeyHistory with 1
22:16:07.712 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.713 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.717 | INFO  |                           JockeyEndpoint: GET ALL /api/v1/jockeys:
22:16:07.717 | INFO  |                            JockeyService: Get jockey/s with following optional parameters: 
22:16:07.717 | INFO  |                                JockeyDao: Get jockey/s with following optional parameters: 
22:16:07.717 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.724 | INFO  |                      DBConnectionManager: Close database connection
22:16:07.742 | INFO  |                            HorseEndpoint: POST /api/v1/horses, Horse: HorseDto{id=null, name='Horse1', breed='null', minSpeed=40.0, maxSpeed=60.0, created=null, updated=null}
22:16:07.742 | INFO  |                             HorseService: Validate data of horse to be inserted
22:16:07.742 | INFO  |                             HorseService: Insert Horse with following data: Name: Horse1, min. Speed: 40.0max. Speed: 60.0
22:16:07.742 | INFO  |                                 HorseDao: Insert horse
22:16:07.743 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.743 | INFO  |                      DBConnectionManager: Establish database connection
22:16:07.753 | INFO  |                            HorseEndpoint: POST /api/v1/horses, Horse: HorseDto{id=null, name='Horse2', breed='null', minSpeed=49.99, maxSpeed=50.0, created=null, updated=null}
22:16:07.753 | INFO  |                             HorseService: Validate data of horse to be inserted
22:16:07.753 | INFO  |                             HorseService: Insert Horse with following data: Name: Horse2, min. Speed: 49.99max. Speed: 50.0
22:16:07.754 | INFO  |                                 HorseDao: Insert horse
22:16:07.754 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.760 | INFO  |                            HorseEndpoint: POST /api/v1/horses, Horse: HorseDto{id=null, name='Horse3', breed='null', minSpeed=45.0, maxSpeed=55.0, created=null, updated=null}
22:16:07.760 | INFO  |                             HorseService: Validate data of horse to be inserted
22:16:07.760 | INFO  |                             HorseService: Insert Horse with following data: Name: Horse3, min. Speed: 45.0max. Speed: 55.0
22:16:07.760 | INFO  |                                 HorseDao: Insert horse
22:16:07.760 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.766 | INFO  |                           JockeyEndpoint: POST /api/v1/jockeys, Jockey: HorseDto{id=null, name='Jockey1', skill=40.0, created=null, updated=null}
22:16:07.767 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:07.767 | INFO  |                            JockeyService: Insert jockey with following data: Name: Jockey1, Skill: 40.0
22:16:07.767 | INFO  |                                JockeyDao: Insert Jockey
22:16:07.767 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.773 | INFO  |                           JockeyEndpoint: POST /api/v1/jockeys, Jockey: HorseDto{id=null, name='Jockey2', skill=-1000.0, created=null, updated=null}
22:16:07.773 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:07.773 | INFO  |                            JockeyService: Insert jockey with following data: Name: Jockey2, Skill: -1000.0
22:16:07.773 | INFO  |                                JockeyDao: Insert Jockey
22:16:07.773 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.780 | INFO  |                           JockeyEndpoint: POST /api/v1/jockeys, Jockey: HorseDto{id=null, name='Jockey3', skill=0.0, created=null, updated=null}
22:16:07.780 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:07.780 | INFO  |                            JockeyService: Insert jockey with following data: Name: Jockey3, Skill: 0.0
22:16:07.780 | INFO  |                                JockeyDao: Insert Jockey
22:16:07.780 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.795 | INFO  |                       SimulationEndpoint: POST simulation: /api/v1/simulations
22:16:07.795 | INFO  |                        SimulationService: Post Simulation with name: Simulation1 and participants: [{Horse ID: 1, Jockey ID: 1, Luck factor: 1.0}, {Horse ID: 2, Jockey ID: 2, Luck factor: 0.95}, {Horse ID: 3, Jockey ID: 3, Luck factor: 1.05}]
22:16:07.796 | INFO  |                        SimulationService: Validate data of simulation to be inserted
22:16:07.796 | INFO  |                        SimulationService: Prepare Simulation and calculate values based on horse speed, luck and skill
22:16:07.796 | INFO  |                                 HorseDao: Get correct version of participant horses
22:16:07.796 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.800 | INFO  |                                JockeyDao: Get correct version of participant jockeys
22:16:07.800 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.805 | INFO  |                        SimulationService: Insert simulation with following data: Name: Simulation1, Participants: [{Horse ID: 1, Jockey ID: 1, Luck factor: 1.0}, {Horse ID: 2, Jockey ID: 2, Luck factor: 0.95}, {Horse ID: 3, Jockey ID: 3, Luck factor: 1.05}]
22:16:07.805 | INFO  |                               Simulation: Insert Simulation
22:16:07.805 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.807 | INFO  |                        SimulationService: Simulation data calculated and sorted by highest average Speed
22:16:07.807 | INFO  |                        SimulationService: Set rank of participants
22:16:07.813 | INFO  |                      DBConnectionManager: Close database connection
22:16:07.828 | INFO  |                            HorseEndpoint: POST /api/v1/horses, Horse: HorseDto{id=null, name='Horse1', breed='Breed1', minSpeed=45.0, maxSpeed=55.0, created=null, updated=null}
22:16:07.828 | INFO  |                             HorseService: Validate data of horse to be inserted
22:16:07.828 | INFO  |                             HorseService: Insert Horse with following data: Name: Horse1, Breed: Breed1, min. Speed: 45.0max. Speed: 55.0
22:16:07.828 | INFO  |                                 HorseDao: Insert horse
22:16:07.828 | INFO  |                      DBConnectionManager: Get database connection
